Product_ID,Product_Position,Price,Competitor_Price,Promotion,Foot_Traffic,Consumer_Demographics,Product_Category,Seasonal,Sales_Volume
P001,Shelf,15,16,Yes,575,College Students,Health,No,184
P002,Endcap,24,26,Yes,493,Seniors,Dairy,No,121
P003,Aisle,13,13,Yes,425,Families,Beverages,Yes,138
P004,Shelf,15,17,Yes,327,Families,Beverages,No,66
P005,Shelf,13,15,No,396,College Students,Dairy,Yes,77
P006,Aisle,23,22,No,447,Young Adults,Dairy,Yes,76
P007,Aisle,22,22,No,417,Young Adults,Electronics,Yes,58
P008,Shelf,10,11,Yes,605,Young Adults,Electronics,No,159
P009,Aisle,12,14,No,237,Seniors,Electronics,Yes,77
P010,Shelf,14,16,No,458,College Students,Health,No,154
P011,Shelf,25,23,Yes,313,Families,Snacks,No,50
P012,Shelf,21,22,Yes,270,Seniors,Dairy,Yes,77
P013,Aisle,6,5,Yes,258,Seniors,Health,Yes,114
P014,Aisle,7,9,No,742,College Students,Snacks,Yes,233
P015,Aisle,9,8,Yes,521,Seniors,Snacks,Yes,142
P016,Aisle,21,21,Yes,390,College Students,Electronics,Yes,57
P017,Shelf,23,21,Yes,212,Young Adults,Dairy,No,61
P018,Aisle,14,15,Yes,674,Young Adults,Electronics,Yes,146
P019,Aisle,24,26,Yes,615,College Students,Health,No,127
P020,Shelf,21,19,No,272,Young Adults,Beverages,No,50
P021,Shelf,19,17,No,360,College Students,Health,No,50
P022,Aisle,19,20,No,659,Families,Electronics,No,151
P023,Aisle,6,5,No,363,Young Adults,Dairy,Yes,85
P024,Endcap,13,14,Yes,460,Young Adults,Snacks,Yes,95
P025,Shelf,16,18,No,705,College Students,Electronics,No,190
P026,Shelf,8,7,Yes,424,Seniors,Snacks,Yes,107
P027,Aisle,24,22,No,773,Young Adults,Electronics,Yes,170
P028,Aisle,21,22,Yes,691,College Students,Health,Yes,165
P029,Aisle,11,10,No,557,Young Adults,Electronics,No,146
P030,Endcap,15,15,Yes,291,Young Adults,Electronics,Yes,96
P031,Endcap,25,23,Yes,231,Families,Health,No,76
P032,Aisle,20,19,No,566,Seniors,Snacks,No,182
P033,Endcap,10,8,Yes,204,Families,Snacks,Yes,72
P034,Aisle,7,6,No,693,Young Adults,Health,No,124
P035,Aisle,15,13,No,264,Young Adults,Electronics,No,70
P036,Aisle,13,15,Yes,532,College Students,Electronics,No,146
P037,Shelf,24,25,No,431,Families,Electronics,Yes,97
P038,Shelf,6,5,Yes,283,Young Adults,Snacks,No,50
P039,Shelf,16,15,No,550,Families,Beverages,Yes,124
P040,Shelf,21,22,No,400,Seniors,Beverages,No,98
P041,Shelf,10,12,No,786,Young Adults,Health,No,235
P042,Aisle,24,26,Yes,492,Families,Snacks,Yes,125
P043,Aisle,10,10,Yes,721,Families,Dairy,Yes,179
P044,Endcap,18,17,No,435,Young Adults,Dairy,No,112
P045,Endcap,23,23,Yes,374,Families,Snacks,No,116
P046,Aisle,25,23,No,450,Families,Dairy,Yes,85
P047,Shelf,25,23,No,663,Young Adults,Beverages,No,155
P048,Endcap,6,8,No,299,College Students,Beverages,Yes,50
P049,Aisle,12,11,Yes,701,Young Adults,Electronics,Yes,214
P050,Endcap,17,16,No,472,Seniors,Electronics,No,107
P051,Shelf,7,8,No,579,Seniors,Beverages,No,95
P052,Shelf,18,17,Yes,744,Seniors,Health,Yes,221
P053,Aisle,23,24,Yes,671,College Students,Snacks,No,136
P054,Aisle,22,24,No,410,Families,Snacks,No,78
P055,Endcap,8,7,No,765,Families,Electronics,Yes,209
